defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,year
84,26,Structural,2019-01-19,Surface,Minor,Manual Testing,842.37,2024
85,45,Structural,2019-01-19,Internal,Critical,Automated Testing,926.31,2024
86,67,Functional,2019-01-19,Component,Minor,Manual Testing,10.44,2024
87,65,Structural,2019-01-19,Surface,Moderate,Visual Inspection,686.02,2024
88,25,Cosmetic,2019-01-19,Component,Critical,Manual Testing,176.96,2024
89,72,Cosmetic,2019-01-19,Internal,Critical,Visual Inspection,555.25,2024
90,46,Functional,2019-01-19,Component,Moderate,Visual Inspection,278.6,2024
91,95,Cosmetic,2019-01-20,Component,Minor,Visual Inspection,658.47,2024
92,11,Cosmetic,2019-01-21,Internal,Minor,Automated Testing,31.91,2024
93,24,Functional,2019-01-21,Component,Minor,Automated Testing,285.85,2024
94,95,Structural,2019-01-21,Component,Moderate,Manual Testing,452.93,2024
95,25,Structural,2019-01-21,Internal,Minor,Manual Testing,23.02,2024
96,79,Cosmetic,2019-01-21,Component,Moderate,Visual Inspection,807.32,2024
97,41,Structural,2019-01-21,Surface,Minor,Visual Inspection,180.86,2024
98,7,Cosmetic,2019-01-21,Component,Moderate,Automated Testing,604.72,2024
99,38,Functional,2019-01-22,Internal,Critical,Automated Testing,383.41,2024
100,6,Structural,2019-01-22,Internal,Critical,Visual Inspection,903.36,2024
101,43,Functional,2019-01-22,Component,Critical,Visual Inspection,509.97,2024
102,65,Structural,2019-01-22,Internal,Minor,Manual Testing,606.91,2024
103,62,Cosmetic,2019-01-22,Component,Moderate,Automated Testing,618.88,2024
104,5,Structural,2019-01-22,Internal,Moderate,Visual Inspection,296.41,2024
105,56,Functional,2019-01-22,Internal,Minor,Visual Inspection,557.67,2024
106,76,Structural,2019-01-22,Component,Minor,Visual Inspection,73.55,2024
107,47,Cosmetic,2019-01-22,Component,Minor,Manual Testing,471.27,2024
108,83,Structural,2019-01-23,Surface,Critical,Manual Testing,237.65,2024
109,89,Cosmetic,2019-01-23,Component,Moderate,Automated Testing,967.29,2024
110,3,Functional,2019-01-23,Component,Moderate,Automated Testing,626.35,2024
111,72,Cosmetic,2019-01-24,Internal,Critical,Visual Inspection,555.25,2024
112,26,Functional,2019-01-24,Internal,Minor,Automated Testing,892.85,2024
113,10,Cosmetic,2019-01-25,Surface,Critical,Automated Testing,622.98,2024
114,74,Cosmetic,2019-01-25,Surface,Moderate,Manual Testing,352.05,2024
115,66,Cosmetic,2019-01-25,Surface,Critical,Automated Testing,689.42,2024
116,65,Cosmetic,2019-01-26,Component,Moderate,Manual Testing,545.52,2024
117,73,Structural,2019-01-26,Surface,Minor,Manual Testing,902.78,2024
118,1,Cosmetic,2019-01-26,Component,Minor,Visual Inspection,963.4,2024
119,87,Functional,2019-01-26,Internal,Minor,Automated Testing,46.43,2024
120,60,Structural,2019-01-27,Surface,Critical,Automated Testing,743.44,2024
121,85,Cosmetic,2019-01-27,Internal,Minor,Automated Testing,18.42,2024
122,20,Structural,2019-01-27,Component,Critical,Visual Inspection,478.48,2024
123,25,Structural,2019-01-27,Internal,Minor,Manual Testing,23.02,2024
124,56,Cosmetic,2019-01-27,Surface,Critical,Manual Testing,749.31,2024
125,76,Structural,2019-01-27,Component,Minor,Visual Inspection,466.92,2024
126,12,Cosmetic,2019-01-27,Internal,Moderate,Manual Testing,769.88,2024
127,40,Functional,2019-01-27,Internal,Minor,Automated Testing,49.2,2024
128,91,Cosmetic,2019-01-28,Surface,Minor,Visual Inspection,18.7,2024
129,40,Cosmetic,2019-01-28,Surface,Moderate,Manual Testing,551.79,2024
130,56,Cosmetic,2019-01-28,Surface,Minor,Visual Inspection,357.56,2024
131,77,Functional,2019-02-01,Surface,Critical,Visual Inspection,873.59,2024
132,67,Cosmetic,2019-02-01,Surface,Minor,Automated Testing,998.27,2024
133,37,Cosmetic,2019-02-01,Component,Moderate,Manual Testing,840.24,2024
134,24,Cosmetic,2019-02-01,Internal,Critical,Automated Testing,136.69,2024
135,54,Functional,2019-02-01,Internal,Moderate,Visual Inspection,310.35,2024
136,40,Cosmetic,2019-02-01,Surface,Moderate,Manual Testing,551.79,2024
137,21,Functional,2019-02-01,Internal,Moderate,Visual Inspection,584.9,2024
138,13,Functional,2019-02-02,Component,Critical,Automated Testing,663.49,2024
139,65,Structural,2019-02-02,Surface,Minor,Manual Testing,142.64,2024
140,51,Functional,2019-02-02,Internal,Minor,Visual Inspection,755.15,2024
141,61,Structural,2019-02-03,Internal,Critical,Visual Inspection,539.5,2024
142,25,Functional,2019-02-03,Surface,Critical,Manual Testing,446.66,2024
143,92,Functional,2019-02-04,Component,Minor,Manual Testing,678.59,2024
144,72,Functional,2019-02-04,Component,Minor,Visual Inspection,151.62,2024
145,82,Cosmetic,2019-02-04,Internal,Critical,Visual Inspection,572.74,2024
146,19,Functional,2019-02-04,Component,Critical,Manual Testing,884.03,2024
147,64,Structural,2019-02-05,Surface,Minor,Manual Testing,437.25,2024
148,67,Functional,2019-02-05,Component,Critical,Automated Testing,749.01,2024
149,89,Functional,2019-02-05,Internal,Critical,Automated Testing,90.11,2024
150,49,Functional,2019-02-06,Surface,Moderate,Manual Testing,960.15,2024
151,52,Structural,2019-02-06,Surface,Critical,Manual Testing,337.5,2024
152,47,Structural,2019-02-06,Internal,Moderate,Manual Testing,117.74,2024
153,57,Cosmetic,2019-02-06,Internal,Minor,Visual Inspection,405.89,2024
154,58,Cosmetic,2019-02-06,Surface,Critical,Visual Inspection,760.33,2024
155,37,Cosmetic,2019-02-07,Surface,Critical,Automated Testing,105.91,2024
156,30,Functional,2019-02-07,Surface,Minor,Manual Testing,113.95,2024
157,60,Structural,2019-02-07,Surface,Moderate,Visual Inspection,321.45,2024
158,62,Cosmetic,2019-02-07,Component,Moderate,Automated Testing,618.88,2024
159,10,Structural,2019-02-07,Internal,Minor,Visual Inspection,433.85,2024
160,39,Cosmetic,2019-02-07,Internal,Critical,Manual Testing,140.02,2024
161,5,Structural,2019-02-07,Internal,Moderate,Visual Inspection,694.03,2024
162,30,Functional,2019-02-07,Surface,Minor,Manual Testing,113.95,2024
163,31,Cosmetic,2019-02-07,Surface,Moderate,Visual Inspection,490.53,2024
164,82,Functional,2019-02-08,Component,Critical,Visual Inspection,858.99,2024
165,28,Cosmetic,2019-02-08,Internal,Minor,Visual Inspection,679.88,2024
166,1,Cosmetic,2019-02-08,Surface,Critical,Visual Inspection,98.45,2024
167,12,Structural,2019-02-08,Internal,Minor,Visual Inspection,201.79,2024
168,24,Cosmetic,2019-02-08,Surface,Critical,Visual Inspection,786.6,2024
169,17,Functional,2019-02-08,Internal,Minor,Visual Inspection,865.96,2024
170,22,Cosmetic,2019-02-08,Surface,Minor,Visual Inspection,379.78,2024
171,75,Structural,2019-02-08,Surface,Moderate,Automated Testing,992.69,2024
172,15,Functional,2019-02-09,Component,Moderate,Visual Inspection,487.41,2024
173,89,Cosmetic,2019-02-09,Internal,Minor,Manual Testing,833.02,2024
174,79,Functional,2019-02-09,Component,Moderate,Visual Inspection,878.64,2024
175,34,Cosmetic,2019-02-09,Surface,Minor,Manual Testing,18.61,2024
176,52,Functional,2019-02-10,Component,Critical,Automated Testing,664.52,2024
177,28,Functional,2019-02-10,Internal,Critical,Manual Testing,34.93,2024
178,5,Functional,2019-02-11,Surface,Critical,Visual Inspection,577.39,2024
179,60,Cosmetic,2019-02-11,Component,Moderate,Manual Testing,737.54,2024
180,3,Structural,2019-02-11,Surface,Minor,Manual Testing,529.16,2024
181,34,Structural,2019-02-12,Internal,Minor,Automated Testing,164.64,2024
182,86,Structural,2019-02-12,Surface,Minor,Visual Inspection,438.58,2024
183,30,Structural,2019-02-12,Surface,Critical,Automated Testing,352.58,2024
184,56,Functional,2019-02-13,Component,Minor,Automated Testing,826.59,2024
185,12,Cosmetic,2019-02-13,Surface,Minor,Manual Testing,238.39,2024
186,41,Cosmetic,2019-02-13,Internal,Moderate,Manual Testing,990.02,2024
187,10,Functional,2019-02-14,Internal,Critical,Automated Testing,444.47,2024
188,54,Functional,2019-02-14,Internal,Moderate,Automated Testing,789.51,2024
189,98,Cosmetic,2019-02-14,Component,Moderate,Manual Testing,491.28,2024
190,72,Structural,2019-02-15,Internal,Minor,Automated Testing,557.57,2024
191,97,Cosmetic,2019-02-15,Surface,Critical,Automated Testing,503.25,2024
192,82,Cosmetic,2019-02-15,Surface,Moderate,Visual Inspection,732.6,2024
193,81,Functional,2019-02-15,Internal,Moderate,Manual Testing,464.04,2024
194,5,Structural,2019-02-15,Component,Critical,Manual Testing,164.56,2024
195,50,Structural,2019-02-15,Surface,Minor,Manual Testing,223.73,2024
196,63,Structural,2019-02-15,Surface,Critical,Visual Inspection,492.32,2024
197,27,Cosmetic,2019-02-16,Component,Minor,Visual Inspection,563.94,2024
198,30,Functional,2019-02-17,Surface,Minor,Visual Inspection,104.54,2024
199,51,Cosmetic,2019-02-17,Internal,Critical,Automated Testing,391.78,2024
200,36,Structural,2019-02-17,Component,Moderate,Manual Testing,160.25,2024
201,44,Cosmetic,2019-02-17,Component,Moderate,Manual Testing,97.53,2024
202,3,Structural,2019-02-18,Surface,Minor,Manual Testing,529.16,2024
203,4,Functional,2019-02-18,Internal,Critical,Manual Testing,470.43,2024
204,38,Functional,2019-02-18,Component,Critical,Visual Inspection,613.47,2024
205,61,Structural,2019-02-18,Component,Minor,Visual Inspection,502.15,2024
206,98,Functional,2019-02-18,Component,Moderate,Visual Inspection,336.29,2024
207,43,Cosmetic,2019-02-18,Component,Moderate,Visual Inspection,523.02,2024
208,1,Structural,2019-02-19,Surface,Critical,Automated Testing,564.46,2024
209,88,Structural,2019-02-19,Internal,Critical,Automated Testing,825.57,2024
210,3,Functional,2019-02-20,Component,Moderate,Automated Testing,626.35,2024
211,97,Cosmetic,2019-02-20,Surface,Critical,Manual Testing,565.48,2024
212,56,Structural,2019-02-20,Surface,Moderate,Visual Inspection,119.28,2024
213,69,Functional,2019-02-20,Internal,Critical,Automated Testing,793.3,2024
214,1,Cosmetic,2019-02-20,Surface,Critical,Visual Inspection,98.45,2024
215,27,Structural,2019-02-20,Internal,Minor,Manual Testing,871.1,2024
216,81,Functional,2019-02-20,Surface,Moderate,Automated Testing,688.91,2024
217,27,Functional,2019-02-20,Internal,Critical,Automated Testing,495.53,2024
218,66,Cosmetic,2019-02-21,Component,Critical,Manual Testing,194.9,2024
219,93,Structural,2019-02-21,Internal,Minor,Visual Inspection,96.04,2024
220,35,Functional,2019-02-21,Component,Minor,Visual Inspection,20.83,2024
221,51,Cosmetic,2019-02-21,Internal,Critical,Manual Testing,251.67,2024
222,37,Structural,2019-02-21,Internal,Moderate,Manual Testing,939.94,2024
223,57,Functional,2019-02-22,Component,Moderate,Automated Testing,440.85,2024
224,63,Cosmetic,2019-02-22,Surface,Minor,Visual Inspection,836.11,2024
225,94,Cosmetic,2019-02-22,Surface,Moderate,Manual Testing,769.57,2024
226,97,Cosmetic,2019-02-23,Component,Minor,Manual Testing,441.18,2024
227,96,Functional,2019-02-23,Component,Minor,Visual Inspection,471.43,2024
228,12,Cosmetic,2019-02-23,Internal,Moderate,Automated Testing,765.19,2024
229,25,Structural,2019-02-23,Internal,Critical,Visual Inspection,133.43,2024
230,84,Cosmetic,2019-02-23,Internal,Minor,Manual Testing,147.94,2024
231,9,Functional,2019-02-23,Surface,Moderate,Manual Testing,49.52,2024
232,73,Cosmetic,2019-02-24,Internal,Moderate,Automated Testing,800.91,2024
233,14,Cosmetic,2019-02-24,Internal,Minor,Visual Inspection,953.54,2024
234,1,Structural,2019-02-24,Component,Critical,Visual Inspection,192.21,2024
235,70,Cosmetic,2019-02-24,Surface,Critical,Manual Testing,789.62,2024
236,4,Cosmetic,2019-02-25,Internal,Critical,Manual Testing,430.74,2024
237,31,Cosmetic,2019-02-25,Component,Critical,Visual Inspection,59.04,2024
238,56,Functional,2019-02-25,Component,Moderate,Manual Testing,614.11,2024
239,69,Functional,2019-02-25,Surface,Moderate,Automated Testing,460.93,2024
240,87,Cosmetic,2019-02-25,Surface,Minor,Manual Testing,301.61,2024
241,84,Cosmetic,2019-02-25,Internal,Critical,Automated Testing,783.88,2024
242,15,Structural,2019-02-25,Component,Critical,Visual Inspection,496.72,2024
243,60,Cosmetic,2019-02-26,Surface,Moderate,Automated Testing,194.44,2024
244,46,Functional,2019-02-26,Component,Moderate,Visual Inspection,278.6,2024
245,77,Cosmetic,2019-02-27,Surface,Moderate,Visual Inspection,206.92,2024
246,43,Functional,2019-02-27,Internal,Critical,Manual Testing,941.33,2024
247,23,Structural,2019-02-27,Surface,Moderate,Automated Testing,704.06,2024
248,4,Cosmetic,2019-02-27,Internal,Critical,Manual Testing,430.74,2024
249,20,Structural,2019-02-27,Internal,Minor,Visual Inspection,608.64,2024
250,77,Functional,2019-02-27,Component,Minor,Manual Testing,363.84,2024
251,9,Functional,2019-02-28,Internal,Moderate,Manual Testing,666.31,2024
252,4,Cosmetic,2019-02-28,Internal,Critical,Visual Inspection,33.95,2024
253,98,Functional,2019-02-28,Component,Moderate,Visual Inspection,336.29,2024
254,49,Functional,2019-03-01,Surface,Critical,Automated Testing,144.38,2024
255,27,Structural,2019-03-01,Component,Moderate,Manual Testing,302.42,2024
256,35,Functional,2019-03-01,Internal,Moderate,Visual Inspection,39.01,2024
257,86,Structural,2019-03-02,Surface,Moderate,Manual Testing,379.78,2024
258,86,Structural,2019-03-02,Component,Minor,Manual Testing,485.02,2024
259,62,Cosmetic,2019-03-02,Surface,Minor,Manual Testing,267.64,2024
260,71,Cosmetic,2019-03-02,Surface,Moderate,Automated Testing,187.03,2024
261,8,Structural,2019-03-02,Component,Critical,Visual Inspection,970.31,2024
262,81,Structural,2019-03-02,Internal,Critical,Automated Testing,486.49,2024
263,1,Functional,2019-03-03,Internal,Critical,Manual Testing,652.97,2024
264,3,Structural,2019-03-03,Surface,Minor,Manual Testing,529.16,2024
265,11,Cosmetic,2019-03-03,Component,Moderate,Automated Testing,758.91,2024
266,75,Structural,2019-03-03,Component,Critical,Visual Inspection,890.35,2024
267,28,Functional,2019-03-03,Component,Critical,Automated Testing,842.93,2024
268,47,Functional,2019-03-04,Surface,Critical,Manual Testing,524.5,2024
269,45,Structural,2019-03-04,Surface,Moderate,Automated Testing,217.96,2024
270,18,Cosmetic,2019-03-04,Component,Minor,Automated Testing,34.48,2024
271,55,Functional,2019-03-04,Component,Minor,Manual Testing,246.83,2024
272,100,Functional,2019-03-04,Surface,Minor,Manual Testing,431.46,2024
273,38,Cosmetic,2019-03-04,Internal,Minor,Automated Testing,339.94,2024
274,62,Cosmetic,2019-03-05,Surface,Moderate,Visual Inspection,227.29,2024
275,28,Functional,2019-03-05,Internal,Critical,Manual Testing,34.93,2024
276,93,Structural,2019-03-05,Internal,Minor,Visual Inspection,96.04,2024
277,69,Functional,2019-03-06,Internal,Critical,Automated Testing,793.3,2024
278,46,Cosmetic,2019-03-06,Component,Critical,Manual Testing,663.35,2024
279,43,Structural,2019-03-06,Surface,Minor,Visual Inspection,326.58,2024
280,28,Cosmetic,2019-03-06,Surface,Critical,Visual Inspection,525.36,2024
281,56,Functional,2019-03-06,Internal,Minor,Manual Testing,595.9,2024
282,18,Cosmetic,2019-03-07,Internal,Minor,Manual Testing,909.42,2024
283,38,Functional,2019-03-07,Internal,Critical,Automated Testing,383.41,2024
284,33,Functional,2019-03-07,Component,Moderate,Visual Inspection,261.19,2024
285,66,Cosmetic,2019-03-07,Component,Minor,Visual Inspection,932.34,2024
286,81,Cosmetic,2019-03-07,Internal,Minor,Manual Testing,837.9,2024
287,43,Functional,2019-03-07,Surface,Minor,Manual Testing,585.81,2024
288,14,Cosmetic,2019-03-07,Surface,Minor,Visual Inspection,132.39,2024
289,91,Cosmetic,2019-03-08,Surface,Moderate,Automated Testing,230.68,2024
290,24,Cosmetic,2019-03-08,Surface,Critical,Visual Inspection,786.6,2024
291,20,Structural,2019-03-08,Component,Critical,Visual Inspection,478.48,2024
292,30,Functional,2019-03-08,Surface,Minor,Manual Testing,113.95,2024
293,78,Structural,2019-03-08,Surface,Critical,Visual Inspection,608.46,2024
294,75,Structural,2019-03-08,Internal,Moderate,Visual Inspection,169.54,2024
295,83,Structural,2019-03-09,Internal,Minor,Automated Testing,866.14,2024
296,99,Structural,2019-03-09,Surface,Minor,Visual Inspection,717.21,2024
297,10,Cosmetic,2019-03-09,Surface,Critical,Automated Testing,622.98,2024
298,1,Cosmetic,2019-03-10,Component,Minor,Visual Inspection,963.4,2024
299,48,Cosmetic,2019-03-10,Internal,Moderate,Visual Inspection,67.49,2024
300,80,Functional,2019-03-10,Internal,Minor,Automated Testing,406.28,2024
301,65,Structural,2019-03-10,Surface,Minor,Manual Testing,142.64,2024
302,45,Functional,2019-03-10,Component,Minor,Visual Inspection,515.07,2024
303,85,Cosmetic,2019-03-10,Internal,Minor,Automated Testing,18.42,2024
304,65,Cosmetic,2019-03-10,Surface,Moderate,Visual Inspection,960.72,2024
305,97,Cosmetic,2019-03-11,Internal,Moderate,Visual Inspection,862.7,2024
306,49,Functional,2019-03-11,Surface,Moderate,Manual Testing,960.15,2024
307,56,Cosmetic,2019-03-11,Internal,Critical,Visual Inspection,638.8,2024
308,95,Structural,2019-03-11,Surface,Moderate,Automated Testing,536.08,2024
309,79,Functional,2019-03-11,Component,Moderate,Visual Inspection,878.64,2024
310,64,Functional,2019-03-11,Component,Critical,Manual Testing,632.45,2024
311,5,Structural,2019-03-11,Internal,Moderate,Visual Inspection,694.03,2024
312,46,Structural,2019-03-11,Surface,Critical,Visual Inspection,160.08,2024
313,41,Structural,2019-03-12,Surface,Moderate,Visual Inspection,575.15,2024
314,4,Cosmetic,2019-03-12,Internal,Moderate,Automated Testing,199.65,2024
315,30,Cosmetic,2019-03-12,Component,Critical,Automated Testing,796.76,2024
316,33,Functional,2019-03-12,Surface,Minor,Automated Testing,168.3,2024
317,90,Cosmetic,2019-03-12,Internal,Critical,Automated Testing,561.22,2024
318,80,Functional,2019-03-12,Internal,Moderate,Visual Inspection,127.23,2024
319,35,Cosmetic,2019-03-13,Component,Critical,Visual Inspection,889.52,2024
320,79,Structural,2019-03-13,Component,Minor,Manual Testing,381.12,2024
321,73,Structural,2019-03-13,Internal,Critical,Visual Inspection,976.75,2024
322,80,Functional,2019-03-13,Component,Moderate,Visual Inspection,294.31,2024
323,14,Structural,2019-03-14,Surface,Critical,Automated Testing,859.52,2024
324,21,Structural,2019-03-14,Component,Critical,Manual Testing,540.92,2024
325,43,Functional,2019-03-14,Surface,Minor,Manual Testing,585.81,2024
326,34,Structural,2019-03-15,Internal,Minor,Manual Testing,221.25,2024
327,75,Cosmetic,2019-03-15,Internal,Moderate,Visual Inspection,917.3,2024
328,25,Functional,2019-03-15,Component,Minor,Automated Testing,146.53,2024
329,41,Structural,2019-03-15,Surface,Minor,Visual Inspection,180.86,2024
330,84,Functional,2019-03-15,Surface,Critical,Manual Testing,510.38,2024
331,56,Functional,2019-03-16,Internal,Minor,Visual Inspection,557.67,2024
332,29,Cosmetic,2019-03-16,Component,Critical,Visual Inspection,825.33,2024
333,5,Cosmetic,2019-03-16,Component,Critical,Manual Testing,300.27,2024
334,62,Functional,2019-03-16,Surface,Minor,Automated Testing,433.75,2024
335,46,Cosmetic,2019-03-16,Surface,Moderate,Manual Testing,672.89,2024
336,22,Functional,2019-03-16,Surface,Critical,Manual Testing,929.05,2024
337,62,Cosmetic,2019-03-16,Surface,Moderate,Visual Inspection,545.72,2024
338,93,Structural,2019-03-16,Component,Minor,Visual Inspection,624.75,2024
339,2,Functional,2019-03-16,Internal,Critical,Automated Testing,602.25,2024
340,19,Structural,2019-03-16,Internal,Minor,Visual Inspection,503.24,2024
341,87,Functional,2019-03-16,Internal,Critical,Visual Inspection,787.42,2024
342,81,Functional,2019-03-17,Internal,Critical,Manual Testing,803.54,2024
343,8,Cosmetic,2019-03-17,Component,Moderate,Manual Testing,178.3,2024
344,82,Functional,2019-03-17,Surface,Moderate,Visual Inspection,257.33,2024
345,41,Cosmetic,2019-03-17,Surface,Moderate,Automated Testing,747.18,2024
346,5,Cosmetic,2019-03-17,Internal,Minor,Automated Testing,185.0,2024
347,10,Cosmetic,2019-03-17,Surface,Critical,Automated Testing,622.98,2024
348,74,Cosmetic,2019-03-18,Component,Critical,Manual Testing,189.55,2024
349,63,Cosmetic,2019-03-18,Surface,Moderate,Visual Inspection,861.84,2024
350,67,Functional,2019-03-18,Component,Critical,Automated Testing,749.01,2024
351,80,Structural,2019-03-18,Internal,Moderate,Manual Testing,904.57,2024
352,35,Functional,2019-03-18,Internal,Moderate,Visual Inspection,39.01,2024
353,4,Cosmetic,2019-03-19,Surface,Moderate,Visual Inspection,577.2,2024
354,89,Cosmetic,2019-03-19,Internal,Minor,Manual Testing,833.02,2024
355,85,Functional,2019-03-19,Surface,Moderate,Automated Testing,995.47,2024
356,49,Functional,2019-03-20,Surface,Critical,Automated Testing,144.38,2024
357,80,Functional,2019-03-20,Component,Moderate,Visual Inspection,294.31,2024
358,16,Structural,2019-03-20,Surface,Minor,Automated Testing,818.54,2024
359,28,Functional,2019-03-20,Component,Critical,Automated Testing,975.87,2024
360,96,Structural,2019-03-20,Internal,Critical,Automated Testing,28.26,2024
361,76,Structural,2019-03-21,Component,Moderate,Automated Testing,56.35,2024
362,51,Structural,2019-03-21,Surface,Critical,Automated Testing,915.73,2024
